ÐòºÅ     x×ø±ê             y×ø±ê
N 1    G00X-2381.099   Y 59.082 
N 2    G00X-2381.209   Y 51.128 
N 3    G00X-2381.541   Y 43.407 
N 4    G00X-2382.093   Y 35.918 
N 5    G00X-2382.866   Y 28.661 
N 6    G00X-2383.86    Y 21.637 
N 7    G00X-2385.075   Y 14.845 
N 8    G00X-2386.511   Y 8.286 
N 9    G00X-2388.168   Y 1.959 
N 10   G00X-2390.045   Y-4.135 
N 11   G00X-2392.144   Y-9.997 
N 12   G00X-2394.463   Y-15.626 
N 13   G00X-2397.003   Y-21.023 
N 14   G00X-2399.764   Y-26.188 
N 15   G00X-2402.746   Y-31.12 
N 16   G00X-2405.949   Y-35.819 
N 17   G00X-2409.373   Y-40.287 
N 18   G00X-2413.018   Y-44.521 
N 19   G00X-2416.883   Y-48.523 
N 20   G00X-2420.97    Y-52.293 
N 21   G00X-2425.277   Y-55.83 
N 22   G00X-2425.277   Y-55.83 
N 23   G00X-2429.772   Y-59.166 
N 24   G00X-2434.419   Y-62.33 
N 25   G00X-2439.219   Y-65.324 
N 26   G00X-2444.172   Y-68.146 
N 27   G00X-2449.278   Y-70.798 
N 28   G00X-2454.537   Y-73.278 
N 29   G00X-2459.949   Y-75.587 
N 30   G00X-2465.514   Y-77.725 
N 31   G00X-2471.231   Y-79.692 
N 32   G00X-2477.102   Y-81.488 
N 33   G00X-2483.125   Y-83.113 
N 34   G00X-2489.302   Y-84.567 
N 35   G00X-2495.631   Y-85.85 
N 36   G00X-2502.114   Y-86.962 
N 37   G00X-2508.749   Y-87.903 
N 38   G00X-2515.537   Y-88.673 
N 39   G00X-2522.478   Y-89.271 
N 40   G00X-2529.572   Y-89.699 
N 41   G00X-2536.819   Y-89.955 
N 42   G00X-2544.219   Y-90.041 
N 43   G00X-2544.219   Y-90.041 
N 44   G00X-2621.248   Y-90.041 
N 45   G00X-2621.248   Y-90.041 
N 46   G00X-2621.248   Y 209.96 
N 47   G00X-2621.248   Y 209.96 
N 48   G00X-2544.219   Y 209.96 
N 49   G00X-2544.219   Y 209.96 
N 50   G00X-2535.947   Y 209.872 
N 51   G00X-2527.896   Y 209.609 
N 52   G00X-2520.065   Y 209.17 
N 53   G00X-2512.456   Y 208.556 
N 54   G00X-2505.067   Y 207.767 
N 55   G00X-2497.9     Y 206.802 
N 56   G00X-2490.953   Y 205.661 
N 57   G00X-2484.227   Y 204.345 
N 58   G00X-2477.722   Y 202.854 
N 59   G00X-2471.438   Y 201.188 
N 60   G00X-2465.375   Y 199.345 
N 61   G00X-2459.532   Y 197.328 
N 62   G00X-2453.911   Y 195.135 
N 63   G00X-2448.511   Y 192.766 
N 64   G00X-2443.331   Y 190.223 
N 65   G00X-2438.372   Y 187.503 
N 66   G00X-2433.634   Y 184.609 
N 67   G00X-2429.117   Y 181.538 
N 68   G00X-2424.821   Y 178.293 
N 69   G00X-2420.746   Y 174.872 
N 70   G00X-2420.746   Y 174.872 
N 71   G00X-2416.881   Y 171.249 
N 72   G00X-2413.213   Y 167.398 
N 73   G00X-2409.744   Y 163.319 
N 74   G00X-2406.473   Y 159.012 
N 75   G00X-2403.401   Y 154.477 
N 76   G00X-2400.526   Y 149.714 
N 77   G00X-2397.85    Y 144.723 
N 78   G00X-2395.372   Y 139.503 
N 79   G00X-2393.092   Y 134.056 
N 80   G00X-2391.011   Y 128.38 
N 81   G00X-2389.128   Y 122.477 
N 82   G00X-2387.443   Y 116.345 
N 83   G00X-2385.956   Y 109.986 
N 84   G00X-2384.667   Y 103.398 
N 85   G00X-2383.577   Y 96.582 
N 86   G00X-2382.685   Y 89.538 
N 87   G00X-2381.991   Y 82.266 
N 88   G00X-2381.495   Y 74.766 
N 89   G00X-2381.198   Y 67.038 
N 90   G00X-2381.099   Y 59.082 
N 91   G00X 999999     Y 999999 
N 92   G00X-2443.932   Y 59.193 
N 93   G00X-2443.992   Y 64.778 
N 94   G00X-2444.17    Y 70.195 
N 95   G00X-2444.467   Y 75.443 
N 96   G00X-2444.882   Y 80.523 
N 97   G00X-2445.417   Y 85.434 
N 98   G00X-2446.07    Y 90.176 
N 99   G00X-2446.841   Y 94.75 
N 100  G00X-2447.732   Y 99.156 
N 101  G00X-2448.741   Y 103.392 
N 102  G00X-2449.869   Y 107.461 
N 103  G00X-2451.115   Y 111.36 
N 104  G00X-2452.481   Y 115.092 
N 105  G00X-2453.965   Y 118.654 
N 106  G00X-2455.568   Y 122.048 
N 107  G00X-2457.289   Y 125.274 
N 108  G00X-2459.129   Y 128.331 
N 109  G00X-2461.088   Y 131.219 
N 110  G00X-2463.166   Y 133.939 
N 111  G00X-2465.363   Y 136.49 
N 112  G00X-2467.678   Y 138.873 
N 113  G00X-2467.678   Y 138.873 
N 114  G00X-2470.112   Y 141.114 
N 115  G00X-2472.664   Y 143.24 
N 116  G00X-2475.336   Y 145.251 
N 117  G00X-2478.126   Y 147.147 
N 118  G00X-2481.034   Y 148.929 
N 119  G00X-2484.062   Y 150.595 
N 120  G00X-2487.208   Y 152.147 
N 121  G00X-2490.473   Y 153.583 
N 122  G00X-2493.857   Y 154.905 
N 123  G00X-2497.359   Y 156.111 
N 124  G00X-2500.98    Y 157.203 
N 125  G00X-2504.72    Y 158.18 
N 126  G00X-2508.579   Y 159.042 
N 127  G00X-2512.556   Y 159.789 
N 128  G00X-2516.652   Y 160.421 
N 129  G00X-2520.867   Y 160.938 
N 130  G00X-2525.2     Y 161.34 
N 131  G00X-2529.653   Y 161.628 
N 132  G00X-2534.224   Y 161.8 
N 133  G00X-2538.913   Y 161.857 
N 134  G00X-2538.913   Y 161.857 
N 135  G00X-2560.68    Y 161.857 
N 136  G00X-2560.68    Y 161.857 
N 137  G00X-2560.68    Y-41.939 
N 138  G00X-2560.68    Y-41.939 
N 139  G00X-2538.913   Y-41.939 
N 140  G00X-2538.913   Y-41.939 
N 141  G00X-2534.224   Y-41.883 
N 142  G00X-2529.653   Y-41.717 
N 143  G00X-2525.2     Y-41.439 
N 144  G00X-2520.867   Y-41.05 
N 145  G00X-2516.652   Y-40.55 
N 146  G00X-2512.556   Y-39.939 
N 147  G00X-2508.579   Y-39.217 
N 148  G00X-2504.72    Y-38.384 
N 149  G00X-2500.98    Y-37.44 
N 150  G00X-2497.359   Y-36.384 
N 151  G00X-2493.857   Y-35.218 
N 152  G00X-2490.473   Y-33.94 
N 153  G00X-2487.208   Y-32.552 
N 154  G00X-2484.062   Y-31.052 
N 155  G00X-2481.034   Y-29.441 
N 156  G00X-2478.126   Y-27.719 
N 157  G00X-2475.336   Y-25.886 
N 158  G00X-2472.664   Y-23.942 
N 159  G00X-2470.112   Y-21.887 
N 160  G00X-2467.678   Y-19.721 
N 161  G00X-2467.678   Y-19.721 
N 162  G00X-2465.363   Y-17.413 
N 163  G00X-2463.166   Y-14.932 
N 164  G00X-2461.088   Y-12.279 
N 165  G00X-2459.129   Y-9.454 
N 166  G00X-2457.289   Y-6.457 
N 167  G00X-2455.568   Y-3.287 
N 168  G00X-2453.965   Y .056 
N 169  G00X-2452.481   Y 3.57 
N 170  G00X-2451.115   Y 7.258 
N 171  G00X-2449.869   Y 11.117 
N 172  G00X-2448.741   Y 15.149 
N 173  G00X-2447.732   Y 19.353 
N 174  G00X-2446.841   Y 23.73 
N 175  G00X-2446.07    Y 28.279 
N 176  G00X-2445.417   Y 33 
N 177  G00X-2444.882   Y 37.894 
