序号    类型   子类    总长度              点距                 夹角                半径
 1      3       2       0                   0                   90                  0 
 2      0       2       16.733              16.733              90                  0 
 3      0       1       132.0616            115.3286           -69.3013             0 
 4      88888  -1       180                 47.9384             90                  0 
 5      0       0       180.6553            .6553               0                   0 
 6      0       0       185.8979            5.2426              0                   0 
 7      0       0       191.1404            5.2426              0                   0 
 8      0      -1       196.733             5.5926              90                  0 
 9      0       0       197.8877            1.1547              0                   0 
 10     0       0       203.5212            5.6335              0                   0 
 11     0       0       209.1586            5.6374              0                   0 
 12     0       0       214.7965            5.638              -1.2508             -261.2867 
 13     0       1       218.128             3.3314             -66.9601             0 
 14     0       0       220.5234            2.3954             -5.7291             -44.3711 
 15     0       0       223.5696            3.0462             -5.5703             -30.8674 
 16     0       0       226.4099            2.8402             -4.7046             -26.0234 
 17     0       0       227.7454            1.3355             -3.3911             -22.942 
 18     0       0       229.0462            1.3009             -3.589              -21.0705 
 19     0       0       230.3095            1.2633             -3.7742             -19.538 
 20     0       0       231.5409            1.2313             -3.9391             -18.3236 
 21     0       0       232.7462            1.2054             -4.0757             -17.4097 
 22     0       0       233.9321            1.1858             -4.1766             -16.7823 
 23     0       0       235.1051            1.1731             -4.2358             -16.4315 
 24     0       0       236.2725            1.1674             -4.2495             -16.3514 
 25     0       0       237.4413            1.1688             -4.2169             -16.5408 
 26     0       0       238.6186            1.1773             -4.14               -17.0028 
 27     0       0       239.8114            1.1928             -4.0236             -17.7448 
 28     0       0       241.0263            1.2149             -3.8745             -18.7783 
 29     0       0       242.2696            1.2433             -3.7003             -20.1188 
 30     0       0       243.5471            1.2775             -3.509              -21.7854 
 31     0       0       244.8641            1.317              -3.3079             -23.7999 
 32     0       0       246.2256            1.3614             -3.1036             -26.1873 
 33     0       0       247.6286            1.403              -4.2774             -30.0105 
 34     0       0       250.6121            2.9835             -6.0948             -17.6853 
 35     0       0       251.2837            .6717              -3.3123             -26.376 
 36     0       0       253.5694            2.2857             -4.7541             -35.1868 
 37     0       0       257.0295            3.4601             -4.6576             -52.7939 
 38     0       0       262.0563            5.0268             -3.8534             -81.2825 
 39     0       0       267.8819            5.8256             -2.6549             -120.0844 
 40     0       0       273.1262            5.2442             -1.9063             -164.7653 
 41     0       0       278.8078            5.6817             -.6866              -471.5707 
 42     0       0       284.4106            5.6027              0                  -69354.7891 
 43     0       0       290.0159            5.6054              .0083               38501.3998 
 44     0       0       295.6195            5.6036              .0121               26623.2461 
 45     0       0       301.2206            5.601               .0158               20326.0673 
 46     0       0       306.8182            5.5977              .0195               16420.7598 
 47     0      -1       312.0616            5.2433             -69.3013             0 
 48     0       0       315.1833            3.1217              0                   0 
 49     0       0       322.1266            6.9433              0                   0 
 50     0       0       329.0697            6.9432              0                   0 
 51     0       2       330.7839            1.7141              90                  0 
 52     0       0       336.0127            5.2289              0                   0 
 53     0       0       342.9554            6.9427              0                   0 
 54     4       2       347.5169            4.5614              90                  0 
 55     0       0       349.8978            2.381               0                   0 
 56     0       0       356.8397            6.9419              0                   0 
 57     0       0       363.7812            6.9414              0                   0 
 58     0       0       370.722             6.9408              0                   0 
 59     0       0       377.6622            6.9402              0                   0 
 60     0       0       384.6016            6.9394              0                   0 
 61     0       0       391.5403            6.9386              0                   0 
 62     0      -1       398.128             6.5877             -66.9601             0 
 63     0       0       399.8414            1.7134             -.0116              -20322.8322 
 64     0       0       406.0313            6.1898             -.0157              -22563.968 
 65     0       0       412.2204            6.1891             -.0135              -26295.557 
 66     0       0       418.4089            6.1885             -.0113              -31511.5863 
 67     0       0       424.5969            6.188              -.009               -39316.2898 
 68     0       0       430.7845            6.1876             -.0068              -52270.2236 
 69     0       0       436.9719            6.1874              0                  -77972.0847 
 70     0       0       443.1591            6.1872              0                  -153446.1403 
 71     0       0       449.3178            6.1588             -5.4118             -58.7586 
 72     0       0       454.1709            4.8531             -5.1911             -51.3924 
 73     0       0       458.5197            4.3488             -4.7178             -39.0297 
 74     0       0       460.5004            1.9807             -3.6101             -31.2716 
 75     0       0       462.3762            1.8757             -4.025              -26.5634 
 76     0       0       464.1473            1.7712             -4.4689             -22.7064 
 77     0       0       465.8236            1.6763             -4.9268             -19.6161 
 78     0       0       467.4167            1.5931             -5.375              -17.2155 
 79     0       0       468.9401            1.5234             -5.7804             -15.4371 
 80     0       0       470.4095            1.4694             -6.1042             -14.2254 
 81     0       0       471.8426            1.433              -6.3087             -13.5394 
 82     0       0       473.2582            1.4157             -6.3667             -13.3542 
 83     0       0       474.6763            1.4181             -6.2701             -13.663 
 84     0       0       476.1166            1.4402             -6.0324             -14.4771 
 85     0       0       477.5976            1.4811             -5.6843             -15.8254 
 86     0       0       479.1366            1.539              -5.2646             -17.7526 
 87     0       0       480.7488            1.6121             -4.8112             -20.3174 
 88     0       0       482.447             1.6983             -4.3549             -23.5895 
 89     0       0       484.2425            1.7955             -3.9172             -27.6478 
 90     0       0       486.1446            1.902              -3.511              -32.5782 
 91     0       0       488.1533            2.0088             -4.5876             -40.6641 
 92     0       0       492.5592            4.4059             -5.4009             -59.4733 
 93     0       0       499.276             6.7169             -.8446              -418.0545 
 94     0       0       504.8464            5.5704              0                   0 
 95     0      -1       510.7839            5.9374              90                  0 
 96     0       0       511.7892            1.0053              0                   0 
 97     0       0       517.0317            5.2426              0                   0 
 98     0       0       522.2743            5.2426              0                   0 
 99     99999  -1       527.5169            5.2426              90                  0 
