序号    类型   子类    总长度              点距                 夹角                半径
 1      3       2       0                   0                   87.0042             0 
 2      88888  -1       180                 180                 87.0042             0 
 3      0       0       183.6909            3.6909             -2.4272             -111.4705 
 4      0       0       189.8106            6.1198             -3.7337             -90.9098 
 5      0       0       195.4248            5.6142             -4.4146             -70.7169 
 6      0       0       200.5656            5.1408             -5.2322             -54.8174 
 7      0       0       205.2804            4.7148             -4.5434             -44.4262 
 8      0       0       207.47              2.1896             -3.3512             -37.7538 
 9      0       0       209.5794            2.1094             -3.6196             -33.6337 
 10     0       0       211.6051            2.0257             -3.8894             -30.1966 
 11     0       0       213.5561            1.951              -4.1508             -27.3899 
 12     0       0       215.4425            1.8864             -4.392              -25.1663 
 13     0       0       217.2756            1.8331             -4.5992             -23.4854 
 14     0       0       219.0678            1.7921             -4.7588             -22.3145 
 15     0       0       220.8322            1.7645             -4.8589             -21.6295 
 16     0       0       222.583             1.7508             -4.8912             -21.4158 
 17     0       0       224.3344            1.7514             -4.8531             -21.6688 
 18     0       0       226.1008            1.7664             -4.7478             -22.3939 
 19     0       0       227.896             1.7952             -4.5838             -23.6068 
 20     0       0       229.7333            1.8373             -4.3733             -25.3322 
 21     0       0       231.625             1.8917             -4.13               -27.6036 
 22     0       0       233.5823            1.9573             -3.8674             -30.4622 
 23     0       0       235.6309            2.0486             -1.5866             -184.4446 
 24     0       0       243.7414            8.1105              0                   0 
 25     0       0       308.7259            64.9845             0                   0 
 26     0       2       314.7839            6.058               87.9239             0 
 27     0       0       316.8493            2.0653              0                   0 
 28     0       0       324.9727            8.1235              0                   0 
 29     0       2       332.3357            7.3629              90                  0 
 30     0       0       333.0963            .7606               0                   0 
 31     0       0       422.4654            89.3691             0                   0 
 32     0       0       430.5881            8.1227             -.3697              -1428.9431 
 33     0       0       440.8617            10.2736            -5.0575             -70.4496 
 34     0       0       442.9025            2.0408             -3.9575             -30.0689 
 35     0       0       444.8796            1.9772             -4.218              -27.3291 
 36     0       0       446.793             1.9134             -4.4552             -25.1783 
 37     0       0       448.6546            1.8615             -4.6551             -23.5764 
 38     0       0       450.4771            1.8225             -4.8038             -22.4914 
 39     0       0       452.2745            1.7974             -4.8901             -21.9007 
 40     0       0       454.0612            1.7867             -4.9066             -21.7915 
 41     0       0       455.852             1.7908             -4.852              -22.1615 
 42     0       0       457.6616            1.8096             -4.7309             -23.0187 
 43     0       0       459.5041            1.8425             -4.553              -24.3817 
 44     0       0       461.3928            1.8888             -4.3313             -26.2783 
 45     0       0       463.3403            1.9475             -4.0799             -28.7452 
 46     0       0       465.3576            2.0174             -3.8122             -31.8267 
 47     0       0       467.4549            2.0973             -3.5396             -35.5739 
 48     0       0       469.641             2.1861             -3.2711             -40.0434 
 49     0       0       471.9126            2.2716             -4.4275             -47.2469 
 50     0       0       476.8052            4.8926             -5.0911             -58.4215 
 51     0       0       482.143             5.3378             -4.2922             -75.4616 
 52     0       0       487.9727            5.8297             -3.6296             -97.0383 
 53     0      -1       494.7839            6.8112              87.9239             0 
 54     0       0       495.8907            1.1067              0                   0 
 55     0       0       506.5517            10.661              0                   0 
 56     0      -1       512.3357            5.784               90                  0 
 57     0       0       518.5799            6.2443              0                   0 
 58     0       0       651.8252            133.2453            0                   0 
 59     0       0       657.6291            5.8039              1.6022              314.9349 
 60     0       0       669.4823            11.8531             2.446               271.6249 
 61     0       0       680.8912            11.4089             2.6435              241.773 
 62     0       0       691.8732            10.982              2.8532              215.624 
 63     0       0       702.4537            10.5805             3.0729              192.9209 
 64     0       0       712.661             10.2073             3.2993              173.4191 
 65     0       0       722.5266            9.8656              3.5272              156.8882 
 66     0       0       732.0853            9.5587              3.7501              143.1148 
 67     0       0       741.3753            9.29                3.9598              131.9061 
 68     0       0       750.4382            9.0629              4.1467              123.0929 
 69     0       0       759.3186            8.8804              4.3009              116.5329 
 70     0       0       768.064             8.7454              4.4132              112.1144 
 71     0       0       776.724             8.6599              4.4762              109.7589 
 72     0       0       785.3495            8.6255              4.4853              109.4234 
 73     0       0       793.9921            8.6427              4.44                111.1017 
 74     0       0       802.7033            8.7112              4.3434              114.8246 
 75     0       0       811.5331            8.8298              4.2022              120.6589 
 76     0       0       820.5297            8.9966              4.025               128.7054 
 77     0       0       829.7388            9.2091              3.8219              139.0965 
