序号    类型   子类    总长度              点距                 夹角                半径
 1      3       1       0                   0                  -167.5215            0 
 2      88888  -1       180                 180                -167.5215            0 
 3      0       0       187.4137            7.4137              1.6706              260.7801 
 4      0       0       194.8924            7.4786              1.808               231.6325 
 5      0       0       202.0822            7.1898              1.959               205.3842 
 6      0       0       208.9912            6.909               2.1246              181.8653 
 7      0       0       215.6282            6.637               2.3053              160.9085 
 8      0       0       222.0034            6.3752              2.5017              142.3496 
 9      0       0       228.1281            6.1247              2.7134              126.0283 
 10     0       0       234.0151            5.887               2.9394              111.7893 
 11     0       0       239.6789            5.6638              3.1772              99.4827 
 12     0       0       245.1355            5.4567              3.423               88.9659 
 13     0       0       250.4031            5.2676              3.6712              80.1046 
 14     0       0       255.5016            5.0985              3.9139              72.7751 
 15     0       0       260.453             4.9514              4.1414              66.8655 
 16     0       0       265.2813            4.8283              4.3425              62.2786 
 17     0       0       270.0121            4.7309              4.5055              58.9333 
 18     0       0       274.6729            4.6608              4.6195              56.7673 
 19     0       0       279.292             4.6191              4.6763              55.7384 
 20     0       0       283.8988            4.6068              4.6714              55.8263 
 21     0       0       288.5227            4.6239              4.6053              57.0326 
 22     0       0       293.1928            4.6701              4.483               59.3814 
 23     0       0       297.9375            4.7447              4.3133              62.9183 
 24     0       0       302.7839            4.8464              4.1073              67.7086 
 25     0       0       307.7575            4.9736              3.8767              73.8362 
 26     0       0       312.8819            5.1244              3.6326              81.4009 
 27     0       0       318.1877            5.3059              4.6643              68.8933 
 28     0       0       324.2101            6.0224              3.4603              97.0096 
 29     0       0       330.0103            5.8001              3.7152              87.2018 
 30     0       0       335.6208            5.6105              3.9648              79.1035 
 31     0       0       341.0664            5.4457              4.1988              72.5887 
 32     0       0       346.3744            5.3079              4.4053              67.5474 
 33     0       0       351.5736            5.1993              4.5721              63.8885 
 34     0       0       356.6953            5.1216              4.6877              61.5421 
 35     0       0       361.7715            5.0762              4.7434              60.4615 
 36     0       0       366.8355            5.064               4.735               60.6245 
 37     0       0       371.9206            5.0851              4.663               62.0345 
 38     0       0       377.0598            5.1392              4.5331              64.7204 
 39     0       0       382.2852            5.2254              4.3548              68.7353 
 40     0       0       387.6272            5.342               4.1399              74.155 
 41     0       0       393.1144            5.4873              3.9008              81.076 
 42     0       0       398.7735            5.659               3.6489              89.6128 
 43     0       0       404.6285            5.855               3.394               99.8956 
 44     0       0       410.7015            6.073               3.1436              112.0677 
 45     0       0       417.0121            6.3106              2.903               126.2834 
 46     0       0       423.5779            6.5659              2.6758              142.7061 
 47     0       0       430.4147            6.8367              2.4639              161.5064 
 48     0       0       437.5362            7.1215              2.2681              182.8613 
 49     4       2       439.4393            1.9032              90                  0 
 50     0       0       444.9548            5.5154              2.0885              206.9522 
 51     0       0       452.6813            7.7265              1.9245              233.9648 
 52     0       0       460.7254            8.0441              1.7753              264.0878 
 53     0       0       469.0932            8.3678              1.2873              319.2459 
 54     0       0       475.1008            6.0076              0                   0 
 55     0       0       481.0996            5.9988              0                   0 
 56     0       0       487.0986            5.999               0                   0 
 57     0       0       493.0978            5.9992              0                   0 
 58     0       0       499.0972            5.9994              0                   0 
 59     0       0       505.0967            5.9995              0                   0 
 60     0       0       511.0964            5.9996              0                   0 
 61     0       0       517.0961            5.9997              0                   0 
 62     0       0       523.0959            5.9998              0                   0 
 63     0       0       529.0959            5.9999              0                   0 
 64     0       0       535.0958            6                   0                   0 
 65     0       0       541.0958            6                   0                   0 
 66     0       0       547.0958            6                   0                   0 
 67     0       0       553.0958            6                   0                   0 
 68     0       0       559.0957            6                   0                   0 
 69     0       0       565.0956            5.9999              0                   0 
 70     0       0       571.0955            5.9998              0                   0 
 71     0       0       577.0952            5.9997              0                   0 
 72     0       0       583.0949            5.9996              0                   0 
 73     0       0       589.0944            5.9995              0                   0 
 74     0       0       595.0937            5.9994              0                   0 
 75     0       0       601.0929            5.9992              0                   0 
 76     0       0       607.0919            5.999               0                   0 
 77     0       0       613.0908            5.9988              0                   0 
 78     99999  -1       619.4393            6.3486              90                  0 
