ÐòºÅ       ×Ü³¤¶È                 µã¾à                   ¼Ð½Ç              °ë¾¶
 1*****     0                       0                     87.0042           3.2061 
 2          3.2752                  3.2752               -2.4272           -111.4705 
 3          9.4434                  6.1681               -3.7337           -90.9098 
 4          15.1215                 5.6782               -4.4146           -70.7169 
 5          20.3381                 5.2166               -5.2322           -54.8174 
 6          25.1297                 4.7916               -4.5434           -44.4262 
 7          27.3813                 2.2516               -3.3512           -37.7538 
 8          29.5455                 2.1642               -3.6196           -33.6337 
 9          31.6302                 2.0847               -3.8894           -30.1966 
 10         33.6443                 2.0142               -4.1508           -27.3899 
 11         35.5978                 1.9535               -4.392            -25.1663 
 12         37.5016                 1.9037               -4.5992           -23.4854 
 13         39.3672                 1.8657               -4.7588           -22.3145 
 14         41.2073                 1.84                 -4.8589           -21.6295 
 15         43.0346                 1.8274               -4.8912           -21.4158 
 16         44.8626                 1.828                -4.8531           -21.6688 
 17         46.7044                 1.8418               -4.7478           -22.3939 
 18         48.5729                 1.8685               -4.5838           -23.6068 
 19         50.4806                 1.9077               -4.3733           -25.3322 
 20         52.4391                 1.9585               -4.13             -27.6036 
 21         54.4591                 2.0201               -3.8674           -30.4622 
 22         56.5506                 2.0915               -1.5866           -184.4446 
 23         64.6735                 8.1229                0                 0 
 24         72.7965                 8.1229                0                 0 
 25         80.9194                 8.123                 0                 0 
 26         89.0424                 8.123                 0                 0 
 27         97.1654                 8.123                 0                 0 
 28         105.2885                8.1231                0                 0 
 29         113.4116                8.1231                0                 0 
 30         121.5348                8.1232                0                 0 
 31         129.6581                8.1233                0                 0 
 32         137.7814                8.1234                0                 0 
 33         145.9049                8.1235                0                 0 
 34         154.0285                8.1236                0                 0 
 35         162.1521                8.1237                0                 0 
 36         170.276                 8.1238                0                 0 
 37         178.3999                8.1239                0                 0 
 38         186.524                 8.1241                0                 0 
 39         194.6482                8.1242                0                 0 
 40         202.7726                8.1244                0                 0 
 41         210.8972                8.1246                0                 0 
 42         219.022                 8.1248                0                 0 
 43         227.147                 8.125                 0                 0 
 44         235.2722                8.1252                0                 0 
 45         243.3975                8.1254                0                 0 
 46         251.5232                8.1256               -.3697            -1428.9431 
 47         261.8394                10.3162              -5.0575           -70.4496 
 48         263.951                 2.1116               -3.9575           -30.0689 
 49         265.9924                2.0414               -4.218            -27.3291 
 50         267.9739                1.9816               -4.4552           -25.1783 
 51         269.907                 1.9331               -4.6551           -23.5764 
 52         271.8038                1.8968               -4.8038           -22.4914 
 53         273.6774                1.8735               -4.8901           -21.9007 
 54         275.5411                1.8637               -4.9066           -21.7915 
 55         277.4085                1.8675               -4.852            -22.1615 
 56         279.2934                1.8848               -4.7309           -23.0187 
 57         281.2088                1.9154               -4.553            -24.3817 
 58         283.1673                1.9586               -4.3313           -26.2783 
