ÐòºÅ       ×Ü³¤¶È                 µã¾à                   ¼Ð½Ç              °ë¾¶
 1*****     0                       0                    -167.5215         -5.0261 
 2          7.752                   7.752                 1.6706            260.7801 
 3          15.2064                 7.4544                1.808             231.6325 
 4          22.37                   7.1635                1.959             205.3842 
 5          29.2504                 6.8805                2.1246            181.8653 
 6          35.8565                 6.6061                2.3053            160.9085 
 7          42.1981                 6.3416                2.5017            142.3496 
 8          48.2864                 6.0883                2.7134            126.0283 
 9          54.134                  5.8476                2.9394            111.7893 
 10         59.7551                 5.6211                3.1772            99.4827 
 11         65.1656                 5.4106                3.423             88.9659 
 12         70.3837                 5.2181                3.6712            80.1046 
 13         75.4292                 5.0455                3.9139            72.7751 
 14         80.3244                 4.8952                4.1414            66.8655 
 15         85.0934                 4.769                 4.3425            62.2786 
 16         89.7625                 4.6691                4.5055            58.9333 
 17         94.3595                 4.597                 4.6195            56.7673 
 18         98.9138                 4.5543                4.6763            55.7384 
 19         103.4553                4.5415                4.6714            55.8263 
 20         108.0144                4.5591                4.6053            57.0326 
 21         112.6211                4.6067                4.483             59.3814 
 22         117.3044                4.6833                4.3133            62.9183 
 23         122.092                 4.7876                4.1073            67.7086 
 24         127.0099                4.9178                3.8767            73.8362 
 25         132.0818                5.072                 3.6326            81.4009 
 26         137.3298                5.2479                4.6643            68.8933 
 27         143.2955                5.9657                3.4603            97.0096 
 28         149.0455                5.75                  3.7152            87.2018 
 29         154.6024                5.5569                3.9648            79.1035 
 30         159.991                 5.3887                4.1988            72.5887 
 31         165.2389                5.2478                4.4053            67.5474 
 32         170.3755                5.1366                4.5721            63.8885 
 33         175.4325                5.057                 4.6877            61.5421 
 34         180.4429                5.0104                4.7434            60.4615 
 35         185.4407                4.9978                4.735             60.6245 
 36         190.4602                5.0195                4.663             62.0345 
 37         195.5352                5.075                 4.5331            64.7204 
 38         200.6985                5.1633                4.3548            68.7353 
 39         205.9812                5.2827                4.1399            74.155 
 40         211.4123                5.4311                3.9008            81.076 
 41         217.0187                5.6063                3.6489            89.6128 
 42         222.8245                5.8059                3.394             99.8956 
 43         228.8519                6.0273                3.1436            112.0677 
 44         235.1203                6.2684                2.903             126.2834 
 45         241.6472                6.5269                2.6758            142.7061 
 46         248.448                 6.8009                2.4639            161.5064 
 47         255.5365                7.0885                2.2681            182.8613 
 48         262.9247                7.3882                2.0885            206.9522 
 49         270.6232                7.6985                1.9245            233.9648 
 50         278.6415                8.0183                1.7753            264.0878 
 51         286.9879                8.3464                1.2873            319.2459 
 52         292.9865                5.9986                0                 0 
 53         298.9853                5.9988                0                 0 
 54         304.9843                5.999                 0                 0 
 55         310.9835                5.9992                0                 0 
 56         316.9829                5.9994                0                 0 
 57         322.9824                5.9995                0                 0 
 58         328.9821                5.9996                0                 0 
 59         334.9818                5.9997                0                 0 
 60         340.9816                5.9998                0                 0 
 61         346.9815                5.9999                0                 0 
 62         352.9815                6                     0                 0 
 63         358.9815                6                     0                 0 
 64         364.9815                6                     0                 0 
 65         370.9815                6                     0                 0 
 66         376.9814                6                     0                 0 
 67         382.9813                5.9999                0                 0 
 68         388.9811                5.9998                0                 0 
 69         394.9809                5.9997                0                 0 
 70         400.9805                5.9996                0                 0 
 71         406.9801                5.9995                0                 0 
 72         412.9794                5.9994                0                 0 
 73         418.9786                5.9992                0                 0 
 74         424.9776                5.999                 0                 0 
 75         430.9764                5.9988                0                 0 
 76****     436.975                 5.9986                90                3.0178 
