ÐòºÅ     x×ø±ê             y×ø±ê
N 1    G00X0.000       Y0.000
N 2    G00X0.000       Y-3.216
N 3    G00X0.000       Y-6.431
N 4    G00X0.000       Y-9.647
N 5    G00X0.000       Y-12.863
N 6    G00X0.000       Y-16.078
N 7    G00X0.000       Y-19.294
N 8    G00X0.000       Y-22.510
N 9    G00X0.000       Y-25.725
N 10   G00X0.000       Y-28.941
N 11   G00X0.000       Y-32.156
N 12   G00X0.000       Y-35.372
N 13   G00X0.000       Y-38.588
N 14   G00X0.000       Y-41.803
N 15   G00X0.000       Y-45.019
N 16   G00X0.000       Y-48.235
N 17   G00X0.000       Y-51.450
N 18   G00X0.000       Y-54.666
N 19   G00X0.000       Y-57.882
N 20   G00X0.000       Y-61.097
N 21   G00X0.000       Y-64.313
N 22   G00X0.000       Y-64.313
N 23   G00X5.174       Y-64.138
N 24   G00X10.080      Y-63.767
N 25   G00X14.718      Y-63.198
N 26   G00X19.089      Y-62.432
N 27   G00X23.193      Y-61.470
N 28   G00X27.028      Y-60.310
N 29   G00X30.596      Y-58.954
N 30   G00X33.897      Y-57.400
N 31   G00X36.929      Y-55.650
N 32   G00X39.694      Y-53.702
N 33   G00X42.191      Y-51.558
N 34   G00X44.420      Y-49.216
N 35   G00X46.381      Y-46.678
N 36   G00X48.074      Y-43.942
N 37   G00X49.499      Y-41.010
N 38   G00X50.656      Y-37.881
N 39   G00X51.545      Y-34.554
N 40   G00X52.166      Y-31.031
N 41   G00X52.519      Y-27.311
N 42   G00X52.604      Y-23.393
N 43   G00X52.604      Y-23.393
N 44   G00X52.446      Y-19.578
N 45   G00X52.133      Y-15.948
N 46   G00X51.664      Y-12.505
N 47   G00X51.040      Y-9.247
N 48   G00X50.260      Y-6.177
N 49   G00X49.325      Y-3.292
N 50   G00X48.234      Y-0.593
N 51   G00X46.988      Y1.919
N 52   G00X45.586      Y4.245
N 53   G00X44.028      Y6.385
N 54   G00X42.315      Y8.339
N 55   G00X40.446      Y10.107
N 56   G00X38.421      Y11.688
N 57   G00X36.241      Y13.084
N 58   G00X33.905      Y14.293
N 59   G00X31.413      Y15.317
N 60   G00X28.765      Y16.155
N 61   G00X25.962      Y16.806
N 62   G00X23.003      Y17.272
N 63   G00X19.888      Y17.551
N 64   G00X19.888      Y17.551
N 65   G00X17.949      Y17.507
N 66   G00X16.109      Y17.375
N 67   G00X14.369      Y17.156
N 68   G00X12.728      Y16.848
N 69   G00X11.187      Y16.452
N 70   G00X9.745       Y15.969
N 71   G00X8.403       Y15.397
N 72   G00X7.160       Y14.738
N 73   G00X6.016       Y13.992
N 74   G00X4.972       Y13.157
N 75   G00X4.027       Y12.235
N 76   G00X3.182       Y11.226
N 77   G00X2.436       Y10.128
N 78   G00X1.790       Y8.944
N 79   G00X1.243       Y7.672
N 80   G00X0.796       Y6.312
N 81   G00X0.447       Y4.865
N 82   G00X0.199       Y3.331
N 83   G00X0.050       Y1.709
N 84   G00X0.000       Y0.000
;N 85   G00X999721.757  Y999149.796
N 86   G00X112.243     Y-128.575
N 87   G00X112.826     Y-128.575
N 88   G00X113.410     Y-128.575
N 89   G00X113.993     Y-128.575
N 90   G00X114.577     Y-128.575
N 91   G00X115.162     Y-128.575
N 92   G00X115.746     Y-128.575
N 93   G00X116.331     Y-128.575
N 94   G00X116.915     Y-128.575
N 95   G00X117.500     Y-128.575
N 96   G00X118.085     Y-128.575
N 97   G00X118.670     Y-128.575
N 98   G00X119.255     Y-128.575
N 99   G00X119.839     Y-128.575
N 100  G00X120.424     Y-128.575
N 101  G00X121.008     Y-128.575
N 102  G00X121.593     Y-128.575
N 103  G00X122.177     Y-128.575
N 104  G00X122.760     Y-128.575
N 105  G00X123.344     Y-128.575
N 106  G00X123.927     Y-128.575
N 107  G00X123.927     Y-128.575
N 108  G00X123.819     Y-133.136
N 109  G00X123.494     Y-137.461
N 110  G00X122.953     Y-141.550
N 111  G00X122.196     Y-145.403
N 112  G00X121.223     Y-149.020
N 113  G00X120.033     Y-152.402
N 114  G00X118.627     Y-155.548
N 115  G00X117.005     Y-158.458
N 116  G00X115.167     Y-161.132
N 117  G00X113.113     Y-163.570
N 118  G00X110.843     Y-165.772
N 119  G00X108.357     Y-167.739
N 120  G00X105.654     Y-169.470
N 121  G00X102.736     Y-170.964
N 122  G00X99.602      Y-172.223
N 123  G00X96.253      Y-173.247
N 124  G00X92.687      Y-174.034
N 125  G00X88.906      Y-174.585
N 126  G00X84.909      Y-174.901
N 127  G00X80.696      Y-174.981
N 128  G00X80.696      Y-174.981
N 129  G00X76.515      Y-174.784
N 130  G00X72.546      Y-174.353
N 131  G00X68.789      Y-173.688
N 132  G00X65.243      Y-172.789
N 133  G00X61.909      Y-171.656
N 134  G00X58.787      Y-170.288
N 135  G00X55.877      Y-168.686
N 136  G00X53.179      Y-166.850
N 137  G00X50.693      Y-164.780
N 138  G00X48.419      Y-162.475
N 139  G00X46.357      Y-159.935
N 140  G00X44.508      Y-157.161
N 141  G00X42.871      Y-154.152
N 142  G00X41.446      Y-150.909
N 143  G00X40.234      Y-147.431
N 144  G00X39.234      Y-143.718
N 145  G00X38.447      Y-139.770
N 146  G00X37.873      Y-135.588
N 147  G00X37.512      Y-131.170
N 148  G00X37.364      Y-126.518
N 149  G00X37.364      Y-126.518
