序号    类型   子类    总长度              点距                 夹角                半径
 1      3       2       0                   0                   90                  0 
 2      0       2       17.1624             17.1624             86.9819             0 
 3      88888  -1       253                 235.8376            90                  0 
 4      0       0       253.6646            .6646               0                   0 
 5      0       0       258.9889            5.3243              0                   0 
 6      0       0       264.3231            5.3343              0                   0 
 7      0      -1       270.1624            5.8393              86.9819             0 
 8      0       0       276.7546            6.5922             -3.7088             -90.721 
 9      0       0       282.3537            5.5991             -4.3671             -71.0123 
 10     0       0       287.5002            5.1465             -5.1516             -55.4363 
 11     0       0       292.2357            4.7355             -4.4539             -45.2118 
 12     0       0       294.4513            2.2156             -3.2748             -38.6189 
 13     0       0       296.5863            2.135              -3.5284             -34.5316 
 14     0       0       298.6421            2.0558             -3.7829             -31.1079 
 15     0       0       300.6273            1.9852             -4.0294             -28.2978 
 16     0       0       302.5513            1.924              -4.2574             -26.0565 
 17     0       0       304.4245            1.8733             -4.4547             -24.3457 
 18     0       0       306.2584            1.8339             -4.609              -23.1337 
 19     0       0       308.0652            1.8067             -4.7096             -22.3972 
 20     0       0       309.8575            1.7923             -4.7487             -22.1214 
 21     0       0       311.6484            1.7909             -4.7232             -22.3006 
 22     0       0       313.451             1.8026             -4.6352             -22.9385 
 23     0       0       315.2782            1.8272             -4.4915             -24.0481 
 24     0       0       317.1422            1.864              -4.3024             -25.651 
 25     0       0       319.0546            1.9124             -4.0799             -27.777 
 26     0       0       321.0261            1.9715             -3.8363             -30.4633 
 27     0       0       323.0664            2.0403             -3.5828             -33.7533 
 28     0       0       325.1888            2.1225             -2.2543             -130.6934 
 29     0       2       330.4391            5.2503              86.1736             0 
 30     0       0       333.314             2.8749              0                   0 
 31     0       0       341.4488            8.1348              0                   0 
 32     0       2       348.1015            6.6528              90                  0 
 33     0       0       349.5833            1.4818              0                   0 
 34     0       0       357.7176            8.1343              0                   0 
 35     0       0       365.8517            8.1341              0                   0 
 36     0       0       373.9856            8.1339              0                   0 
 37     0       0       382.1194            8.1337              0                   0 
 38     0       0       390.2529            8.1336              0                   0 
 39     0       0       398.3863            8.1334              0                   0 
 40     0       0       406.5196            8.1332              0                   0 
 41     0       0       414.6527            8.1331              0                   0 
 42     0       0       422.7856            8.133               0                   0 
 43     0       0       430.9184            8.1328              0                   0 
 44     0       0       439.0511            8.1327              0                   0 
 45     0       0       447.1837            8.1326              0                   0 
 46     0       0       455.3162            8.1325              0                   0 
 47     0       0       463.4487            8.1324              0                   0 
 48     0       0       471.581             8.1323              0                   0 
 49     0       0       479.7133            8.1323              0                   0 
 50     0       0       487.8455            8.1322              0                   0 
 51     0       0       495.9776            8.1322              0                   0 
 52     0       2       497.4375            1.4599              90                  0 
 53     0       0       504.1098            6.6723              0                   0 
 54     0       0       512.2419            8.1321              0                   0 
 55     0       2       515.0999            2.8581              85.3159             0 
 56     0       0       520.3725            5.2726             -.3256              -1616.1802 
 57     0       0       530.5841            10.2116            -4.9492             -71.0453 
 58     0       0       532.5756            1.9915             -3.9472             -29.0126 
 59     0       0       534.5065            1.9309             -4.1906             -26.5223 
 60     0       0       536.3814            1.8749             -4.4085             -24.5805 
 61     0       0       538.2113            1.83               -4.5881             -23.1516 
 62     0       0       540.0083            1.797              -4.7171             -22.208 
 63     0       0       541.785             1.7766             -4.7859             -21.7307 
 64     0       0       543.5543            1.7694             -4.7889             -21.7097 
 65     0       0       545.3297            1.7754             -4.7259             -22.1444 
 66     0       0       547.1241            1.7944             -4.602              -23.0439 
 67     0       0       548.9503            1.8262             -4.4265             -24.4265 
 68     0       0       550.8203            1.87               -4.2115             -26.319 
 69     0       0       552.7452            1.9249             -3.9699             -28.7561 
 70     0       0       554.7351            1.99               -3.7138             -31.7792 
 71     0       0       556.7993            2.0642             -3.4535             -35.4358 
 72     0       0       558.946             2.1467             -3.1972             -39.7785 
 73     0       0       561.1763            2.2303             -4.3377             -46.7483 
 74     0       0       565.9484            4.7721             -5.005              -57.5129 
 75     0       0       571.14              5.1916             -4.2356             -73.8538 
 76     0       0       576.7907            5.6507             -3.5941             -94.4624 
 77     0      -1       583.4391            6.6484              86.1736             0 
 78     0       0       584.6065            1.1674              0                   0 
 79     0       0       589.9392            5.3327              0                   0 
 80     0       0       595.2676            5.3283              0                   0 
 81     0      -1       601.1015            5.834               90                  0 
 82     0       0       607.533             6.4315              0                   0 
 83     0       0       613.4648            5.9318              0                   0 
 84     0       0       619.3968            5.932               0                   0 
 85     0       0       625.329             5.9322              0                   0 
 86     0       0       631.2614            5.9324              0                   0 
 87     0       0       637.194             5.9326              0                   0 
 88     0       0       643.1268            5.9328              0                   0 
 89     0       0       649.0597            5.933               0                   0 
 90     0       0       654.9929            5.9331              0                   0 
 91     0       0       660.9261            5.9333              0                   0 
 92     0       1       666.4234            5.4973             -90                  0 
 93     0       0       666.8596            .4361               0                   0 
 94     0       0       672.7931            5.9336              0                   0 
 95     0       0       678.7268            5.9337              0                   0 
 96     0       0       684.6606            5.9338              0                   0 
 97     0       0       690.5945            5.9339              0                   0 
