ÐòºÅ       ×Ü³¤¶È                 µã¾à                   ¼Ð½Ç              °ë¾¶
 1*****     0                       0                     90                2.9843 
 2          .6646                   .6646                 0                 0 
 3          5.9889                  5.3243                0                 0 
 4          11.3231                 5.3343                0                 0 
 5          16.6624                 5.3393                86.9819           4.1667 
 6          22.7708                 6.1084               -3.7088           -90.721 
 7          28.4051                 5.6343               -4.3671           -71.0123 
 8          33.5932                 5.1881               -5.1516           -55.4363 
 9          38.3706                 4.7774               -4.4539           -45.2118 
 10         40.6199                 2.2493               -3.2748           -38.6189 
 11         42.7846                 2.1647               -3.5284           -34.5316 
 12         44.8723                 2.0877               -3.7829           -31.1079 
 13         46.8916                 2.0192               -4.0294           -28.2978 
 14         48.8517                 1.9601               -4.2574           -26.0565 
 15         50.7629                 1.9113               -4.4547           -24.3457 
 16         52.6364                 1.8735               -4.609            -23.1337 
 17         54.4838                 1.8474               -4.7096           -22.3972 
 18         56.3174                 1.8336               -4.7487           -22.1214 
 19         58.1496                 1.8322               -4.7232           -22.3006 
 20         59.9931                 1.8435               -4.6352           -22.9385 
 21         61.8601                 1.867                -4.4915           -24.0481 
 22         63.7625                 1.9024               -4.3024           -25.651 
 23         65.7114                 1.949                -4.0799           -27.777 
 24         67.7175                 2.006                -3.8363           -30.4633 
 25         69.7901                 2.0726               -3.5828           -33.7533 
 26         71.9381                 2.1479               -2.2543           -130.6934 
 27         80.0731                 8.135                 0                 0 
 28         88.2078                 8.1348                0                 0 
 29         96.3424                 8.1345                0                 0 
 30         104.4767                8.1343                0                 0 
 31         112.6108                8.1341                0                 0 
 32         120.7447                8.1339                0                 0 
 33         128.8784                8.1337                0                 0 
 34         137.012                 8.1336                0                 0 
 35         145.1454                8.1334                0                 0 
 36         153.2786                8.1332                0                 0 
 37         161.4117                8.1331                0                 0 
 38         169.5447                8.133                 0                 0 
 39         177.6775                8.1328                0                 0 
 40         185.8102                8.1327                0                 0 
 41         193.9428                8.1326                0                 0 
 42         202.0753                8.1325                0                 0 
 43         210.2077                8.1324                0                 0 
 44         218.3401                8.1323                0                 0 
 45         226.4723                8.1323                0                 0 
 46         234.6045                8.1322                0                 0 
 47         242.7367                8.1322                0                 0 
 48         250.8688                8.1321                0                 0 
 49         259.0009                8.1321                0                 0 
 50         267.133                 8.1321               -.3256            -1616.1802 
 51         277.3676                10.2346              -4.9492           -71.0453 
 52         279.3979                2.0303               -3.9472           -29.0126 
 53         281.3643                1.9664               -4.1906           -26.5223 
 54         283.2767                1.9124               -4.4085           -24.5805 
